Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg)
88.89646687,1.495637527,139.5077058,111.7851273,72,-26.59999164
89.74795377,1.507463734,140.2690665,111.4038664,72,-25.38189331
90.59944067,1.51928994,141.0383601,111.0388769,72,-24.16379498
91.45092757,1.531116147,141.8152388,110.6903236,72,-22.94569665
92.30241447,1.542942354,142.5993516,110.3583642,72,-21.72759832
93.15390137,1.554768561,143.3903441,110.0431486,72,-20.50949999
94.00538827,1.566594768,144.1878587,109.7448194,72,-19.29140166
94.85687518,1.578420975,144.9915351,109.4635113,72,-18.07330333
95.70836208,1.590247182,145.80101,109.1993516,72,-16.855205
96.55984898,1.602073389,146.6159175,108.9524595,72,-15.63710667
97.41133588,1.613899596,147.4358893,108.7229467,72,-14.41900835
98.26282278,1.625725803,148.2605549,108.5109169,72,-13.20091002
99.11430968,1.63755201,149.0895415,108.316466,72,-11.98281169
99.96579658,1.649378217,149.9224744,108.1396818,72,-10.76471336
100.8172835,1.661204424,150.7589773,107.9806442,72,-9.546615027
101.6687704,1.672942709,151.5986719,107.8394251,73.07859229,-8.328516698
102.5202573,1.684509013,152.4411789,107.7160883,74.15718458,-7.110418369
103.3717442,1.695908304,153.2861174,107.6106897,75.23577687,-5.892320039
104.2232311,1.707145335,154.1331055,107.5232767,76.31436916,-4.67422171
105.074718,1.718224663,154.9817605,107.4538889,77.39296145,-3.45612338
105.9262049,1.72915065,155.8316988,107.4025578,78.47155374,-2.238025051
106.7776918,1.739927486,156.6825362,107.3693064,79.55014603,-1.019926722
107.6291787,1.750559185,157.5338882,107.3541498,80.62873832,0.198171608
108.4806656,1.761049607,158.38537,107.3570949,81.70733061,1.416269937
109.3321525,1.771402456,159.2365968,107.3781403,82.7859229,2.634368267
110.1836394,1.781621294,160.0871838,107.4172765,83.86451519,3.852466596
111.0351263,1.791709545,160.9367466,107.4744858,84.94310748,5.070564926
111.8866132,1.801670507,161.7849013,107.5497424,86.02169977,6.288663255
112.7381001,1.811507349,162.6312645,107.6430123,87.10029206,7.506761584
113.589587,1.821223129,163.4754537,107.7542533,88.17888435,8.724859914
114.4410739,1.830820788,164.3170874,107.883415,89.25747664,9.942958243
115.2925608,1.840303166,165.1557851,108.0304393,90.33606893,11.16105657
116.1440477,1.849672998,165.9911677,108.1952595,91.41466122,12.3791549
116.9955346,1.858932924,166.8228579,108.3778013,92.49325351,13.59725323
117.8470215,1.868085494,167.6504795,108.577982,93.5718458,14.81535156
118.6985084,1.877133168,168.4736587,108.7957113,94.6504381,16.03344989
119.5499953,1.886078323,169.2920232,109.0308907,95.72903039,17.25154822
120.4014822,1.894923256,170.1052034,109.283414,96.80762268,18.46964655
121.2529691,1.903670188,170.9128316,109.5531669,97.88621497,19.68774488
122.104456,1.912321267,171.7145428,109.8400276,98.96480726,25.65133198
123.1048546,1.922375109,172.6163471,110.2730937,100.0433995,25.40190337
124.1048546,1.932317177,173.5196682,110.7020588,101.1219918,25.40190337
125.1048546,1.942153763,174.4229892,111.131024,102.2005841,25.40190337
126.1048546,1.951887082,175.3263102,111.5599891,103.2791764,25.40190337
127.1048546,1.961519279,176.2296313,111.9889543,104.3577687,25.40190337
128.1048546,1.971052434,177.1329523,112.4179194,105.436361,25.40190337
129.1048546,1.980488564,178.0362734,112.8468845,106.5149533,25.40190337
130.1048546,1.989829622,178.9395944,113.2758497,107.5935456,25.40190337
131.1048546,1.999077506,179.8429155,113.7048148,108.6721379,25.40190337
132.1048546,2.008234057,180.7462365,114.13378,109.7507302,25.40190337
133.1048546,2.01730106,181.6495576,114.5627451,110.8293224,25.40190337
134.1048546,2.02628025,182.5528786,114.9917103,111.9079147,25.40190337
135.1048546,2.035173312,183.4561996,115.4206754,112.986507,25.40190337
136.1048546,2.043981882,184.3595207,115.8496405,114.0650993,25.40190337
137.1048546,2.052707551,185.2628417,116.2786057,115.1436916,25.40190337
138.1048546,2.061351864,186.1661628,116.7075708,116.2222839,26.48727938
139.0268727,2.069248452,186.9913998,117.1187901,117.3008762,28.65803138
139.9488908,2.077072763,187.8004686,117.5609723,118.3794685,30.82878338
140.8709089,2.084826107,188.5922079,118.0334829,119.4580608,32.99953539
141.7929271,2.092526981,189.3654814,118.5356437,120,35.17028739
142.7149452,2.100355208,190.1191793,119.066734,115.562423,37.3410394
143.6369633,2.108489923,190.8522199,119.6259915,111.124846,39.5117914
144.5589814,2.116956102,191.563551,120.2126135,106.687269,42.3100816
145.5591341,2.126529828,192.3031766,120.8858589,102.249692,41.9872125
146.5591341,2.136526739,193.0464707,121.5548237,97.81211504,41.9872125
147.5591341,2.14698772,193.7897649,122.2237884,93.37453804,41.9872125
148.5591341,2.157957955,194.533059,122.8927531,88.93696105,41.9872125
149.5591341,2.169489563,195.2763532,123.5617179,84.49938406,41.9872125
150.5591341,2.181643097,196.0196473,124.2306826,80.06180707,41.9872125
151.5591341,2.194489464,196.7629415,124.8996473,75.62423007,41.9872125
152.5591341,2.208112432,197.5062356,125.568612,71.18665308,41.9872125
153.5591341,2.222611939,198.2495298,126.2375768,66.74907609,41.9872125
154.5591341,2.238108538,198.9928239,126.9065415,62.3114991,41.9872125
155.5591341,2.254749492,199.736118,127.5755062,57.8739221,41.9872125
156.5591341,2.272717286,200.4794122,128.244471,53.43634511,41.9872125
157.5591341,2.292241841,201.2227063,128.9134357,48.99876812,41.9872125
158.5591341,2.313618507,201.9660005,129.5824004,44.56119113,41.9872125
159.5591341,2.337235495,202.7092946,130.2513652,40.12361413,41.9872125
160.5591341,2.36361736,203.4525888,130.9203299,35.68603714,41.9872125
161.5591341,2.393497318,204.1958829,131.5892946,31.24846015,41.9872125
162.5591341,2.427944832,204.9391771,132.2582594,26.81088316,41.9872125
163.5591341,2.468608305,205.6824712,132.9272241,22.37330616,41.9872125
164.5591341,2.518224973,206.4257654,133.5961888,17.93572917,41.9872125
165.5591341,2.581850587,207.1690595,134.2651536,13.49815218,41.9872125
166.5591341,2.67050807,207.9123537,134.9341183,9.060575187,41.9872125
167.5591341,2.816668722,208.6556478,135.603083,4.622998194,41.9872125
168.5591341,3.232605818,209.3989419,136.2720478,0.185421202,41.9872125
168.6009184,3.683302223,209.43,136.3,0,41.9872125
