Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in)
211.02329495915842,1,483.84033692537344,235.9063376845416,211.02329495915842,90,,,,,
212.02327829257507,1,484.569680749627,235.2222147035402,212.02327829257507,90,,,,,
213.02326162599175,1,485.2851971625037,234.52364263852814,213.02326162599175,90,,,,,
214.0232449594084,1,485.9865999669784,233.8109009090173,214.0232449594084,90,,,,,
215.02322829282508,1,486.6736086112813,233.08427460219633,215.02322829282508,90,,,,,
216.02321162624173,1,487.3459483011145,232.34405435889977,216.02321162624173,90,,,,,
217.02319495965838,1,488.00335010956667,231.59053625735547,217.02319495965838,90,,,,,
218.02317829307506,1,488.6455510846796,230.82402169475725,218.02317829307506,90,,,,,
219.02316162649174,1,489.2722943546258,230.04481726671008,219.02316162649174,90,,,,,
220.0231449599084,1,489.8833292304537,229.25323464459598,220.0231449599084,90,,,,,
221.02312829332507,1,490.4784113063601,228.44959045090945,221.02312829332507,90,,,,,
222.02311162674175,1,491.0573025574489,227.6342061326129,222.02311162674175,90,,,,,
223.0230949601584,1,491.6197714349381,226.80740783256195,223.0230949601584,90,,,,,
224.02307829357505,1,492.16559295877624,225.96952625905283,224.02307829357505,90,,,,,
225.0230616269917,1,492.6945488076313,225.12089655354333,225.0230616269917,90,,,,,
226.02304496040838,1,493.20642740621633,224.2618581566007,226.02304496040838,90,,,,,
227.02302829382504,1,493.70102400991686,223.39275467213008,227.02302829382504,90,,,,,
228.02301162724171,1,494.1781407866861,222.51393372993738,228.02301162724171,90,,,,,
229.02299496065837,1,494.6375868961745,221.62574684668195,229.02299496065837,90,,,,,
230.02297829407505,1,495.07917856606446,220.7285492852748,230.02297829407505,90,,,,,
231.02296162749172,1,495.5027391655757,219.822699912778,231.02296162749172,90,,,,,
232.0229449609084,1,495.90809927611576,218.90856105686274,232.0229449609084,90,,,,,
233.02292829432506,1,496.2950967590452,217.98649836088302,233.02292829432506,90,,,,,
234.02291162774173,1,496.66357682053075,217.05688063762324,234.02291162774173,90,,,,,
